sentiment,text
1,going to the range to hit some golf balls
1,ate way too much faber fight tomorrow
-1,bedtimeeee if only my brain knew this
1,@buffybot85 im writing today also
-1,watched step up 2 again wish i could dance
-1,wide awake but need to sleep
1,welcome back miss grace dela cruz
1,@tvproinc yeah i cant complain
-1,pissed off the angels lost
1,@ethanbauley nice collection will link it for reference
1,finding loui
1,@raptorattack check your email
-1,@hollypop04 mmm  where is it holly
-1,welcome to the pity party
1,@xprincessxkrisx haha we really dont
-1,missing josh
1,@sweetchikara its a band listen to them
1,@dymediva23 good morning to u too
-1,cam home to leave again still had muffins left
-1,i cannot find any research proposals
-1,bass then exercise
1,@werespectmiley lol go on google and type malta
1,@rulaz gracias  and i promise hardly working jajaja
1,@ahoova i have seen waltz with bashir three times
1,@patientwarrior yeah it does
1,theres no place like home
-1,balls to it
-1,learning for university
1,@woahslyn youre welcome  where do you study
-1,@vanntan i miss home cooked food
1,@thetwinz hope the show went fantastic last night
1,@braxw  thank you
-1,damn didnt see uknowwho doing uknowwhat how disappointing
1,around with my baby
-1,@prazy i was waiting for history to repeat itself
1,httptwitpiccom6av0i  this boat is nice
1,@sloanyxxx thanks
-1,isnt having a great day and misses @milkman311
-1,rain rain go away
-1,@squintsquad21 still feeling bad
-1,@eddienoc awww girl did seeing him sunday affect you
-1,stupid phone companys they cut of my phone
-1,@thinmint1 honesty
1,i heart hulu
1,@ashleyltmsyf greaaaat vid ashley
1,watching that 70s show
1,ok imma bout 2eat soon yup n brothers
1,@dymonn i know i am
1,@danielshockk coooooooool yes ciwwaf are awesome
1,@londicreations and its a boy
1,good morning world its all workworkwork today
1,@merlene the object fetish
-1,@cccapple just means i sold them
1,@jayjay why not cause of the girls
-1,@ddlovato why dont you guyzz reply to me 
1,@raygunrobyn i heart 9th life
1,@nagham ive been up and working since 830
-1,im having a bad hair day
-1,stuck in traffic wish i had coffee
-1,@dbsalter yep
-1,up at 240 and cant go back to bed
1,bye bye everybody  xx
-1,does not enjoy packing things away
-1,@mamajoan that would suck all right
1,@melomania  the terminology was just for you
-1,@keeptheheat mr universe couldnt even tuck me in
1,@robertkellyfans im in
1,caught redhanded again  snoboo snoboo httptwitpiccom5f2us
1,see ya charly
-1,@darnellwright damn times pretty hard for ya buddy
1,lexeedaly22 have fun
-1,@scottsusman you stopped following me   youre mean
1,@jeffreyeas im also a former dem
1,@chatondesigns glad to hear it
